index,skill_name,original_name,category,tier,cost,selected_in_excel,does_not_modify_current_calcs,description,cell_icon,cell_name,source_media_path,extracted_filename,width,height
1,1 point,1 point,,,,T1,False,,C9,D9,xl/media/image1.png,icons/001_1_point.png,1200,761
2,2 points,2 points,,,,T2,False,,C10,D10,xl/media/image1.png,icons/002_2_points.png,1200,761
3,3 points,3 points,,,,T3,False,,C11,D11,xl/media/image1.png,icons/003_3_points.png,1200,761
4,Green Thumb,Green Thumb,Legacy,Legacy,0,0,False,+5% more coins when selling crops (Seed Shop),C16,D16,xl/media/image54.png,icons/004_Green_Thumb.png,13,13
5,Lumberjack's Extra,Lumberjack's Extra,Trees,,,1,False,+0.1 in wood yield.,J16,K16,xl/media/image23.png,icons/005_Lumberjacks_Extra.png,62,62
6,Seed Specialist,Seed Specialist,Legacy,Legacy,0,0,False,-10% on crop growth time,C17,D17,xl/media/image53.png,icons/006_Seed_Specialist.png,11,12
7,Tree Charge,Tree Charge,Trees,,,1,False,-10% in the growth time of trees.,J17,K17,xl/media/image111.png,icons/007_Tree_Charge.png,62,60
8,Coder,Coder,Legacy,Legacy,0,0,False,+20% on crop harvest,C18,D18,xl/media/image33.png,icons/008_Coder.png,10,10
9,More Axes,More Axes,Trees,,,0,False,+50 in axe stock.,J18,K18,xl/media/image22.png,icons/009_More_Axes.png,60,60
10,Lumberjack,Lumberjack,Legacy,Legacy,0,0,False,+10% more wood,C19,D19,xl/media/image2.png,icons/010_Lumberjack.png,21,13
11,Insta-Chop,Insta-Chop - X,Trees,,,1,True,A single hit on trees.,J19,K19,xl/media/image52.png,icons/011_Insta-Chop.png,61,62
12,Logger,Logger,Legacy,Legacy,0,0,False,Uses half an axe per tree,C20,D20,xl/media/image7.png,icons/012_Logger.png,16,8
13,Prospector,Prospector,Legacy,Legacy,0,0,False,+20% Stone,C21,D21,xl/media/image9.png,icons/013_Prospector.png,15,9
14,Tough Tree,Tough Tree,Trees,Tier 2,2,1,False,1/10 chance of x3 in wood yield.,J21,K21,xl/media/image28.png,icons/014_Tough_Tree.png,63,62
15,Gold Rush,Gold Rush,Legacy,Legacy,0,0,False,+50% Gold,C22,D22,xl/media/image51.png,icons/015_Gold_Rush.png,12,16
16,Feller's Discount,Feller's Discount,Trees,Tier 2,2,0,False,-20% in axe cost.,J22,K22,xl/media/image17.png,icons/016_Fellers_Discount.png,61,58
17,Discord Mod,Discord Mod,Legacy,Legacy,0,0,False,+35% Wood,C23,D23,xl/media/image19.png,icons/017_Discord_Mod.png,16,16
18,Money Tree,Money Tree - X,Trees,Tier 2,2,0,True,1% chance to find 200 Coins when cutting down trees.,J23,K23,xl/media/image21.png,icons/018_Money_Tree.png,63,60
19,Barn Manager,Barn Manager,Legacy,Legacy,0,0,False,+5% Animal Production +10% Chance of Mutant Animals,C24,D24,xl/media/image34.png,icons/019_Barn_Manager.png,448,460
20,Wrangler,Wrangler,Legacy,Legacy,0,0,False,-10% on animal growth time +10% Chance of Mutant Animals,C25,D25,xl/media/image93.png,icons/020_Wrangler.png,459,457
21,Tree Turnaround,Tree Turnaround,Trees,Tier 3,3,1,False,15% chance for trees to grow instantly.,J25,K25,xl/media/image120.png,icons/021_Tree_Turnaround.png,61,61
22,Artist,Artist,Legacy,Legacy,0,0,False,10% Discount on Seeds and Tools,C26,D26,xl/media/image49.png,icons/022_Artist.png,456,458
23,Tree Blitz,Tree Blitz - X,Trees,Tier 3,3,0,True,Make all trees grow instantly (once every 24 hours).,J26,K26,xl/media/image35.png,icons/023_Tree_Blitz.png,62,62
24,Liquidity Provider,Liquidity Provider - X,Legacy,Legacy,0,0,True,+50% reduction in FLOWER withdrawal fee,C27,D27,xl/media/image56.png,icons/024_Liquidity_Provider.png,451,474
25,Rock'N'Roll,Rock'N'Roll,Mining,,,1,False,+0.1 Stone Yield,J31,K31,xl/media/image10.png,icons/025_RockNRoll.png,62,61
26,Green Thumb,Green Thumb,Crop,Tier 1,1,1,False,-5% in the time of Crops,C32,D32,xl/media/image4.png,icons/026_Green_Thumb.png,110,110
27,Iron Bumpkin,Iron Bumpkin,Mining,,,0,False,+0.1 Iron Yield,J32,K32,xl/media/image16.png,icons/027_Iron_Bumpkin.png,62,60
28,Young Farmer,Young Farmer,Crop,Tier 1,1,0,False,+0.1 Basic Crop Yield,C33,D33,xl/media/image31.png,icons/028_Young_Farmer.png,112,110
29,Speed Miner,Speed Miner,Mining,,,1,False,-20% in stone recovery time.,J33,K33,xl/media/image25.png,icons/029_Speed_Miner.png,63,62
30,Experienced Farmer,Experienced Farmer,Crop,Tier 1,1,0,False,+0.1 Medium Crop Yield,C34,D34,xl/media/image55.png,icons/030_Experienced_Farmer.png,112,112
31,Tap Prospector,Tap Prospector - X,Mining,,,0,True,"1 hit on small minerals (stone, iron, gold)",J34,K34,xl/media/image24.png,icons/031_Tap_Prospector.png,62,62
32,Betty's Friend,Betty's Friend - X,Crop,Tier 1,1,1,True,Delivery of 'Betty' Coin increased by 30%,C35,D35,xl/media/image36.png,icons/032_Bettys_Friend.png,113,108
33,Forge-Ward Profits,Forge-Ward Profits - X,Mining,,,1,True,+20% revenue on deliveries to the Blacksmith.,J35,K35,xl/media/image74.png,icons/033_Forge-Ward_Profits.png,61,62
34,Old Farmer,Old Farmer,Crop,Tier 1,1,1,False,+0.1 Advanded Crop Yield,C36,D36,xl/media/image8.png,icons/034_Old_Farmer.png,111,112
35,Chonky Scarecrow,Chonky Scarecrow - X,Crop,Tier 1,1,0,True,Basic Scarecrow AOE increased to 7x7; -10% basic crop growth time.,C37,D37,xl/media/image58.png,icons/035_Chonky_Scarecrow.png,112,112
36,Iron Hustle,Iron Hustle,Mining,Tier 2,2,0,False,-30% in iron recovery time.,J37,K37,xl/media/image37.png,icons/036_Iron_Hustle.png,63,61
37,Frugal Miner,Frugal Miner,Mining,Tier 2,2,1,False,-20% in pickaxe coin cost.,J38,K38,xl/media/image79.png,icons/037_Frugal_Miner.png,62,62
38,Strong Roots,Strong Roots,Crop,Tier 2,2,1,False,10% reduction in the time of Advanced Crops,C39,D39,xl/media/image6.png,icons/038_Strong_Roots.png,94,92
39,Rocky Favor,Rocky Favor,Mining,Tier 2,2,1,False,"+1 in stone yield, -0.5 in iron yield.",J39,K39,xl/media/image38.png,icons/039_Rocky_Favor.png,63,62
40,Coin Swindler,Coin Swindler,Crop,Tier 2,2,0,False,+10% coins when selling crops (Seed Shop),C40,D40,xl/media/image14.png,icons/040_Coin_Swindler.png,95,97
41,Fire Kissed,Fire Kissed,Mining,Tier 2,2,1,False,+1 in Crimstone yield on the 5th consecutive day.,J40,K40,xl/media/image29.png,icons/041_Fire_Kissed.png,62,62
42,Golden Sunflower,Golden Sunflower - X,Crop,Tier 2,2,0,True,1/700 chance of getting +0.35 gold when manually harvesting sunflowers,C41,D41,xl/media/image60.png,icons/042_Golden_Sunflower.png,96,94
43,Midas Sprint,Midas Sprint,Mining,Tier 2,2,0,False,-10% in gold recovery time.,J41,K41,xl/media/image42.png,icons/043_Midas_Sprint.png,62,62
44,Horror Mike,Horror Mike,Crop,Tier 2,2,0,False,Scary Mike AOE increases the size to 7x7 and +0.1 Crops (Medium Crops),C42,D42,xl/media/image70.png,icons/044_Horror_Mike.png,94,93
45,Laurie's Gains,Laurie's Gains,Crop,Tier 2,2,1,False,Laurie Crow AOE increases the size to 7x7 and +0.1 Crops (Advanced Crops),C43,D43,xl/media/image18.png,icons/045_Lauries_Gains.png,94,92
46,Midas Rush,Midas Rush,Mining,Tier 3,3,0,False,-20% in gold recovery time.,J43,K43,xl/media/image41.png,icons/046_Midas_Rush.png,62,61
47,Golden Touch,Golden Touch,Mining,Tier 3,3,1,False,+0.5 Gold Yield,J44,K44,xl/media/image5.png,icons/047_Golden_Touch.png,62,63
48,Acre Farm,Acre Farm,Crop,Tier 3,3,1,False,"+1 Advanced crop yield, -0.5 Basic and Medium crop yield",C45,D45,xl/media/image15.png,icons/048_Acre_Farm.png,93,94
49,More Picks,More Picks,Mining,Tier 3,3,1,False,"Increased stock: +70 Pickaxe, +20 Stone Pickaxe, +7 Iron Pickaxe.",J45,K45,xl/media/image47.png,icons/049_More_Picks.png,63,60
50,Hectare Farm,Hectare Farm,Crop,Tier 3,3,0,False,"+1 Basic and Medium crop yield, -0.5 Advanced crop yield",C46,D46,xl/media/image30.png,icons/050_Hectare_Farm.png,93,95
51,Ferrous Favor,Ferrous Favor,Mining,Tier 3,3,0,False,"+1 in iron yield, -0.5 in stone yield.",J46,K46,xl/media/image12.png,icons/051_Ferrous_Favor.png,63,62
52,Instant Growth,Instant Growth - X,Crop,Tier 3,3,1,True,Ability to make all Crops ready for harvest (1/72h),C47,D47,xl/media/image3.png,icons/052_Instant_Growth.png,92,94
53,Fireside Alchemist,Fireside Alchemist,Mining,Tier 3,3,0,False,-15% in Crimstone recovery time.,J47,K47,xl/media/image40.png,icons/053_Fireside_Alchemist.png,61,62
54,Fruitful Fumble,Fruitful Fumble,Fruit Patch,,,1,False,+0.1 Fruit Yield,C52,D52,xl/media/image46.png,icons/054_Fruitful_Fumble.png,63,63
55,Efficient Feeding,Efficient Feeding,Animals,,,0,False,-5% in feed for all animals.,J52,K52,xl/media/image11.png,icons/055_Efficient_Feeding.png,62,62
56,Fruity Heaven,Fruity Heaven,Fruit Patch,,,0,False,-10% in the cost of fruit seeds,C53,D53,xl/media/image44.png,icons/056_Fruity_Heaven.png,62,63
57,Restless Animals,Restless Animals,Animals,,,1,False,-10% in animal sleep time.,J53,K53,xl/media/image45.png,icons/057_Restless_Animals.png,63,63
58,Fruity Profit,Fruity Profit - X,Fruit Patch,,,1,True,+50% coins on Tango deliveries,C54,D54,xl/media/image26.png,icons/058_Fruity_Profit.png,64,62
59,Fine Fibers,Fine Fibers,Animals,,,1,False,"+0.1 in feather, leather, and Merino wool yield.",J54,K54,xl/media/image57.png,icons/059_Fine_Fibers.png,63,62
60,Loyal Macaw,Loyal Macaw,Fruit Patch,,,1,False,Double Macaw's Effect,C55,D55,xl/media/image32.png,icons/060_Loyal_Macaw.png,63,63
61,Bountiful Bounties,Bountiful Bounties,Animals,,,0,False,+50% in coins from Animal Rewards.,J55,K55,xl/media/image20.png,icons/061_Bountiful_Bounties.png,62,62
62,No Axe No Worries,No Axe No Worries,Fruit Patch,,,0,False,"Cut fruit branches without axes, -1 wood from fruit branches",C56,D56,xl/media/image43.png,icons/062_No_Axe_No_Worries.png,64,62
63,Double Bale,Double Bale,Animals,,,1,False,Double the effect of Bale.,J56,K56,xl/media/image66.png,icons/063_Double_Bale.png,63,63
64,Bale Economy,Bale Economy,Animals,,,1,False,Bale affects milk and wool production.,J57,K57,xl/media/image27.png,icons/064_Bale_Economy.png,61,62
65,Catchup,Catchup,Fruit Patch,Tier 2,2,0,False,-10% in the growth time of fruits,C58,D58,xl/media/image118.png,icons/065_Catchup.png,62,61
66,Featherweight,Featherweight,Animals,,,0,False,"+0.25 Feather yield
-0.35 Leather & Merino Wool yield",J58,K58,xl/media/image13.png,icons/066_Featherweight.png,62,60
67,Fruity Woody,Fruity Woody,Fruit Patch,Tier 2,2,0,False,+1 wood from fruit branches and stems,C59,D59,xl/media/image50.png,icons/067_Fruity_Woody.png,63,62
68,Pear Turbocharge,Pear Turbocharge,Fruit Patch,Tier 2,2,1,False,Double the effect of Immortal Pear's,C60,D60,xl/media/image59.png,icons/068_Pear_Turbocharge.png,62,60
69,Crime Fruit,Crime Fruit,Fruit Patch,Tier 2,2,0,False,+10 in the stock of Tomato and Lemon seeds,C61,D61,xl/media/image125.png,icons/069_Crime_Fruit.png,64,61
70,Abundant Harvest,Abundant Harvest,Animals,Tier 2,2,1,False,"+0.2 in egg, wool, and milk yield.",J61,K61,xl/media/image61.png,icons/070_Abundant_Harvest.png,62,63
71,Heartwarming Instruments,Heartwarming Instruments,Animals,Tier 2,2,1,False,+50% animal experience from Animal Affection tools.,J62,K62,xl/media/image39.png,icons/071_Heartwarming_Instruments.png,62,61
72,Generous Orchard,Generous Orchard,Fruit Patch,Tier 3,3,1,False,20% chance of +1 in fruit yield,C63,D63,xl/media/image62.png,icons/072_Generous_Orchard.png,60,60
73,Kale Mix,Kale Mix,Animals,Tier 2,2,0,False,Mixed Grain requires 3 kale to mix.,J63,K63,xl/media/image90.png,icons/073_Kale_Mix.png,61,61
74,Long Pickings,Long Pickings,Fruit Patch,Tier 3,3,0,False,"-50% in the growth time of apples and bananas,
+100% in the growth time for all other fruits.",C64,D64,xl/media/image67.png,icons/074_Long_Pickings.png,62,63
75,Alternate Medicine,Alternate Medicine - X,Animals,Tier 2,2,0,True,Medicine requires 1 less lemon and honey to mix.,J64,K64,xl/media/image71.png,icons/075_Alternate_Medicine.png,62,61
76,Healthy Livestock,Healthy Livestock - X,Animals,Tier 2,2,1,True,-50% chance of disease.,J65,K65,xl/media/image78.png,icons/076_Healthy_Livestock.png,62,62
77,Short Pickings,Short Pickings,Fruit Patch,Tier 3,3,0,False,"-50% in the growth time of blueberries and oranges,
+100% in the growth time for all other fruits.",C66,D66,xl/media/image68.png,icons/077_Short_Pickings.png,62,61
78,Merino Whisperer,Merino Whisperer,Animals,Tier 2,2,0,False,"+0.25 Merino Wool yield
-0.35 Leather & Feather yield",J66,K66,xl/media/image72.png,icons/078_Merino_Whisperer.png,61,62
79,Zesty Vibes,Zesty Vibes,Fruit Patch,Tier 3,3,0,False,"+1 in the yield of Tomato and Lemon,
-0.25 in the yield for all other fruits.",C68,D68,xl/media/image122.png,icons/079_Zesty_Vibes.png,62,62
80,Clucky Grazing,Clucky Grazing,Animals,Tier 3,3,0,False,"-25% feed for chickens,
+50% feed for other animals.",J69,K69,xl/media/image159.png,icons/080_Clucky_Grazing.png,62,62
81,Sheepwise Diet,Sheepwise Diet,Animals,Tier 3,3,1,False,"-25% feed for sheep,
+50% feed for other animals.",J71,K71,xl/media/image76.png,icons/081_Sheepwise_Diet.png,61,60
82,Cow-Smart Nutrition,Cow-Smart Nutrition,Animals,Tier 3,3,0,False,"-25% feed for cows,
+50% feed for other animals.",J73,K73,xl/media/image109.png,icons/082_Cow-Smart_Nutrition.png,61,62
83,Glass Room,Glass Room,Greenhouse,,,1,False,+0.1 in greenhouse production yield.,C74,D74,xl/media/image65.png,icons/083_Glass_Room.png,64,63
84,Rice and Shine,Rice and Shine,Greenhouse,,,0,False,-5% in the growth time of greenhouse products.,C75,D75,xl/media/image69.png,icons/084_Rice_and_Shine.png,64,61
85,Chonky Feed,Chonky Feed,Animals,Tier 3,3,1,False,"2x animal experience from feeding,
+50% feed for all animals.",J75,K75,xl/media/image83.png,icons/085_Chonky_Feed.png,61,62
