index,skill_name,original_name,category,tier,cost,selected_in_excel,does_not_modify_current_calcs,description,cell_icon,cell_name,source_media_path,extracted_filename,width,height
86,Seedy Business,Seedy Business,Greenhouse,,,1,False,-15% in the cost of greenhouse seeds.,C76,D76,xl/media/image77.png,icons/086_Seedy_Business.png,63,61
87,Victoria's Secretary,Victoria's Secretary - X,Greenhouse,,,1,True,+50% in coins on Victoria's deliveries.,C77,D77,xl/media/image199.png,icons/087_Victorias_Secretary.png,61,61
88,Barnyard Rouse,Barnyard Rouse - X,Animals,Tier 3,3,0,True,Instantly wake up all animals (1/5d).,J77,K77,xl/media/image48.png,icons/088_Barnyard_Rouse.png,63,61
89,Leathercraft Mastery,Leathercraft Mastery,Animals,Tier 3,3,0,False,"+0.25 Leather yield
-0.35 Feather & Merino Wool yield",J78,K78,xl/media/image85.png,icons/089_Leathercraft_Mastery.png,63,61
90,Olive Express,Olive Express,Greenhouse,Tier 2,2,0,False,-10% in the growth time of olives.,C79,D79,xl/media/image81.png,icons/090_Olive_Express.png,62,61
91,Rice Rocket,Rice Rocket,Greenhouse,Tier 2,2,0,False,-10% in the growth time of rice.,C80,D80,xl/media/image92.png,icons/091_Rice_Rocket.png,64,61
92,Vine Velocity,Vine Velocity,Greenhouse,Tier 2,2,0,False,-10% in the growth time of grapes.,C81,D81,xl/media/image63.png,icons/092_Vine_Velocity.png,61,62
93,Seeded Bounty,Seeded Bounty,Greenhouse,Tier 2,2,0,False,"+0.5 in GH production yield, +1 greenhouse seed to plant.",C82,D82,xl/media/image87.png,icons/093_Seeded_Bounty.png,62,60
94,Greenhouse Gamble,Greenhouse Gamble,Greenhouse,Tier 3,3,0,False,25% chance of +1 in GH production.,C84,D84,xl/media/image106.png,icons/094_Greenhouse_Gamble.png,62,60
95,Fisherman's 5 Fold,Fisherman's 5 Fold - X,Fishing,,,1,True,+5 in the daily fishing limit.,J84,K84,xl/media/image94.png,icons/095_Fishermans_5_Fold.png,61,59
96,Slick Saver,Slick Saver,Greenhouse,Tier 3,3,0,False,-1 Oil to cultivate GH products.,C85,D85,xl/media/image80.png,icons/096_Slick_Saver.png,63,61
97,Fishy Chance,Fishy Chance - X,Fishing,,,0,True,10% chance to get +1 basic fish.,J85,K85,xl/media/image88.png,icons/097_Fishy_Chance.png,61,61
98,Greasy Plants,Greasy Plants,Greenhouse,Tier 3,3,0,False,"+1 in GH production yield, +100% in Oil consumption.",C86,D86,xl/media/image98.png,icons/098_Greasy_Plants.png,61,60
99,Fishy Roll,Fishy Roll - X,Fishing,,,1,True,10% chance to get +1 advanced fish.,J86,K86,xl/media/image82.png,icons/099_Fishy_Roll.png,62,62
100,Greenhouse Guru,Greenhouse Guru - X,Greenhouse,Tier 3,3,0,True,Make all GH crops that are growing ready for harvest (1/96h).,C87,D87,xl/media/image101.png,icons/100_Greenhouse_Guru.png,61,61
101,Reel Deal,Reel Deal - X,Fishing,,,0,True,-50% on the cost of fishing rods.,J87,K87,xl/media/image73.png,icons/101_Reel_Deal.png,62,62
102,Fisherman's 10 Fold,Fisherman's 10 Fold - X,Fishing,Tier 2,2,1,True,+10 in the daily fishing limit.,J89,K89,xl/media/image89.png,icons/102_Fishermans_10_Fold.png,62,61
103,Fishy Fortune,Fishy Fortune - X,Fishing,Tier 2,2,0,True,+100% in Coins from Corale deliveries.,J90,K90,xl/media/image99.png,icons/103_Fishy_Fortune.png,63,61
104,Fishy Gamble,Fishy Gamble - X,Fishing,Tier 2,2,1,True,20% chance to get +1 expert fish.,J91,K91,xl/media/image86.png,icons/104_Fishy_Gamble.png,63,63
105,Sweet Bonus,Sweet Bonus - X,Bees Flowers,,,0,True,+0.1 Honey per hive.,C93,D93,xl/media/image96.png,icons/105_Sweet_Bonus.png,62,62
106,Frenzied Fish,Frenzied Fish - X,Fishing,Tier 3,3,0,True,"During the fish Frenzied, +1 fish and 50% chance of +1 fish.",J93,K93,xl/media/image139.png,icons/106_Frenzied_Fish.png,62,62
107,Hyper Bees,Hyper Bees - X,Bees Flowers,,,0,True,+0.1 in honey production speed.,C94,D94,xl/media/image102.png,icons/107_Hyper_Bees.png,62,61
108,More With Less,More With Less - X,Fishing,Tier 3,3,0,True,"+15 in the daily fishing limit, -1 worm from all composters.",J94,K94,xl/media/image114.png,icons/108_More_With_Less.png,62,61
109,Blooming Boost,Blooming Boost - X,Bees Flowers,,,0,True,-10% in the growth time of flowers.,C95,D95,xl/media/image105.png,icons/109_Blooming_Boost.png,63,59
110,Fishy Feast,Fishy Feast - X,Fishing,Tier 3,3,1,True,+20% Fish XP.,J95,K95,xl/media/image84.png,icons/110_Fishy_Feast.png,61,62
111,Flower Sale,Flower Sale - X,Bees Flowers,,,0,True,-20% in the cost of flower seeds.,C96,D96,xl/media/image91.png,icons/111_Flower_Sale.png,62,60
112,Buzzworthy Treats,Buzzworthy Treats,Bees Flowers,Tier 2,2,0,False,+10% Experience in foods made with honey.,C98,D98,xl/media/image95.png,icons/112_Buzzworthy_Treats.png,63,59
113,Blossom Bonding,Blossom Bonding - X,Bees Flowers,Tier 2,2,0,True,+2 relationship points when gifting flowers.,C99,D99,xl/media/image110.png,icons/113_Blossom_Bonding.png,63,61
114,Pollen Power Up,Pollen Power Up - X,Bees Flowers,Tier 2,2,0,True,Additional yield of +0.1 harvest after pollination.,C100,D100,xl/media/image75.png,icons/114_Pollen_Power_Up.png,62,61
115,Fast Feasts,Fast Feasts,Fishing,Tier 3,3,0,False,-10% cooking time for Firepit and Kitchen.,J100,K100,xl/media/image64.png,icons/115_Fast_Feasts.png,63,63
116,Petalled Perk,Petalled Perk - X,Bees Flowers,Tier 2,2,0,True,10% chance to get +1 flower.,C101,D101,xl/media/image104.png,icons/116_Petalled_Perk.png,61,60
117,Nom Nom,Nom Nom - X,Fishing,Tier 3,3,0,True,+10% in food delivery revenue.,J101,K101,xl/media/image123.png,icons/117_Nom_Nom.png,63,62
118,Munching Mastery,Munching Mastery,Fishing,Tier 3,3,1,False,+5% Experience when eating meals.,J102,K102,xl/media/image113.png,icons/118_Munching_Mastery.png,63,63
119,Bee Collective,Bee Collective - X,Bees Flowers,Tier 3,3,0,True,+20% chance of a bee swarm.,C103,D103,xl/media/image107.png,icons/119_Bee_Collective.png,63,62
120,Swift Sizzle,Swift Sizzle - X,Fishing,Tier 3,3,0,True,-40% cooking time for FirePit with Oil.,J103,K103,xl/media/image148.png,icons/120_Swift_Sizzle.png,63,59
121,Flower Power,Flower Power - X,Bees Flowers,Tier 3,3,0,True,-20% in the growth time of flowers.,C104,D104,xl/media/image134.png,icons/121_Flower_Power.png,62,62
122,Flowery Abode,Flowery Abode - X,Bees Flowers,Tier 3,3,0,True,"+0.5 in honey production speed,
+50% in flower growth time.",C105,D105,xl/media/image145.png,icons/122_Flowery_Abode.png,62,61
123,Frosted Cakes,Frosted Cakes,Fishing,Tier 2,2,0,False,-10% cooking time for cakes.,J105,K105,xl/media/image103.png,icons/123_Frosted_Cakes.png,62,59
124,Juicy Boost,Juicy Boost,Fishing,Tier 2,2,0,False,+10% experience for Smoothie Shack drinks.,J106,K106,xl/media/image97.png,icons/124_Juicy_Boost.png,63,59
125,Petal Blessed,Petal Blessed - X,Bees Flowers,Tier 3,3,0,True,Skill: make all currently growing flowers ready to be harvested (1/96h).,C107,D107,xl/media/image100.png,icons/125_Petal_Blessed.png,60,62
126,Turbo Fry,Turbo Fry - X,Fishing,Tier 2,2,0,True,-50% cooking time for Kitchen with Oil.,J107,K107,xl/media/image154.png,icons/126_Turbo_Fry.png,63,62
127,Drive-Through Deli,Drive-Through Deli,Fishing,Tier 2,2,0,False,+15% experience for Deli meals.,J108,K108,xl/media/image136.png,icons/127_Drive-Through_Deli.png,61,61
128,Double Nom,Double Nom,Fishing,Tier 3,3,0,False,"+1 food when cooking, 2x ingredients needed for cooking.",J110,K110,xl/media/image112.png,icons/128_Double_Nom.png,62,62
129,Fiery Jackpot,Fiery Jackpot,Fishing,Tier 3,3,0,False,+20% chance to get +1 food in the Firepit.,J111,K111,xl/media/image117.png,icons/129_Fiery_Jackpot.png,63,62
130,Fry Frenzy,Fry Frenzy - X,Fishing,Tier 3,3,0,True,-60% cooking time for the Deli with Oil.,J112,K112,xl/media/image170.png,icons/130_Fry_Frenzy.png,61,62
131,Crop Extension Module I,Crop Extension Module I - X,Machinery,,,0,True,Allow Rhubarb and Zucchini seeds to be used in the CM.,C113,D113,xl/media/image131.png,icons/131_Crop_Extension_Module_I.png,63,62
132,Instant Gratification,Instant Gratification - X,Fishing,Tier 3,3,0,True,Makes all currently cooking meals ready to be consumed (1/72h).,J113,K113,xl/media/image119.png,icons/132_Instant_Gratification.png,60,62
133,Crop Processor Unit,Crop Processor Unit,Machinery,,,0,False,"-5% in CM growth time, +10% in Oil consumption.",C114,D114,xl/media/image149.png,icons/133_Crop_Processor_Unit.png,64,64
134,Oil Gadget,Oil Gadget,Machinery,,,1,False,-10% in Oil consumption.,C115,D115,xl/media/image108.png,icons/134_Oil_Gadget.png,62,66
135,Oil Extraction,Oil Extraction,Machinery,,,1,False,+1 Oil when collecting from reserves.,C116,D116,xl/media/image115.png,icons/135_Oil_Extraction.png,62,62
136,Leak-Proof Tank,Leak-Proof Tank - X,Machinery,,,0,True,Triple the Oil tank capacity of the Crop Machine.,C117,D117,xl/media/image152.png,icons/136_Leak-Proof_Tank.png,65,63
137,Crop Extension Module II,Crop Extension Module II - X,Machinery,Tier 2,2,0,True,Allow Carrot and Cabbage seeds to be used in the CM.,C119,D119,xl/media/image162.png,icons/137_Crop_Extension_Module_II.png,65,62
138,Efficient Bin,Efficient Bin - X,Compost,,,0,True,+5 Sprout Mix.,J119,K119,xl/media/image158.png,icons/138_Efficient_Bin.png,62,59
139,Crop Extension Module III,Crop Extension Module III - X,Machinery,Tier 2,2,0,True,Allow Yam and Brocolli seeds to be used in the CM.,C120,D120,xl/media/image127.png,icons/139_Crop_Extension_Module_III.png,65,62
140,Turbo Charged,Turbo Charged - X,Compost,,,0,True,+5 Fruitful Blend,J120,K120,xl/media/image143.png,icons/140_Turbo_Charged.png,63,62
141,Rapid Rig,Rapid Rig,Machinery,Tier 2,2,0,False,"-20% in CM growth time, +40% in Oil consumption.",C121,D121,xl/media/image167.png,icons/141_Rapid_Rig.png,62,60
142,Wormy Treat,Wormy Treat - X,Compost,,,0,True,+1 Worm,J121,K121,xl/media/image130.png,icons/142_Wormy_Treat.png,63,60
143,Oil Be Back,Oil Be Back,Machinery,Tier 2,2,0,False,-20% in Oil refilling time.,C122,D122,xl/media/image129.png,icons/143_Oil_Be_Back.png,63,62
144,Feathery Business,Feathery Business - X,Compost,,,0,True,"Use feathers instead of eggs to speed up the composters,
2x feathers to speed up the composters.",J122,K122,xl/media/image198.png,icons/144_Feathery_Business.png,63,61
145,Oil Rig,Oil Rig,Machinery,Tier 2,2,1,False,Oil Drill requires 20 Wool instead of Leather to craft,C123,D123,xl/media/image124.png,icons/145_Oil_Rig.png,63,63
146,Sprout Surge,Sprout Surge - X,Compost,,,0,True,Place Sprout Mix in all plots.,J124,K124,xl/media/image121.png,icons/146_Sprout_Surge.png,63,61
147,Field Expansion Module,Field Expansion Module - X,Machinery,Tier 3,3,0,True,+5 packages added to the machine.,C125,D125,xl/media/image150.png,icons/147_Field_Expansion_Module.png,62,65
148,Blend-tastic,Blend-tastic - X,Compost,,,0,True,Place Fruitful Blend in all fruit tree plots.,J125,K125,xl/media/image135.png,icons/148_Blend-tastic.png,61,61
149,Field Extension Module,Field Extension Module,Machinery,Tier 3,3,0,False,+5 plots added to the machine.,C126,D126,xl/media/image171.png,icons/149_Field_Extension_Module.png,64,63
150,Efficiency Extension Module,Efficiency Extension Module,Machinery,Tier 3,3,0,False,-30% in Oil consumption.,C127,D127,xl/media/image142.png,icons/150_Efficiency_Extension_Module.png,63,62
151,Swift Decomposer,Swift Decomposer - X,Compost,Tier 2,2,0,True,-10% in composting time.,J127,K127,xl/media/image116.png,icons/151_Swift_Decomposer.png,62,60
152,Grease Lightning,Grease Lightning - X,Machinery,Tier 3,3,0,True,Make empty Oil wells refill instantly (1/96h).,C128,D128,xl/media/image177.png,icons/152_Grease_Lightning.png,64,65
153,Root Rocket,Root Rocket - X,Compost,Tier 2,2,0,True,Place Rapid Root in all plots.,J128,K128,xl/media/image190.png,icons/153_Root_Rocket.png,63,62
154,Composting Bonanza,Composting Bonanza - X,Compost,Tier 2,2,0,True,"Speed up the composters for an additional hour when boosted,
2x resources to boost the composters.",J129,K129,xl/media/image156.png,icons/154_Composting_Bonanza.png,63,61
155,Premium Worms,Premium Worms - X,Compost,Tier 2,2,0,True,+10 Rapid Root,J131,K131,xl/media/image188.png,icons/155_Premium_Worms.png,61,60
156,Fruitful Bounty,Fruitful Bounty - X,Compost,Tier 2,2,0,True,Double the effect of Fruitful Blend's.,J132,K132,xl/media/image147.png,icons/156_Fruitful_Bounty.png,59,62
157,Composting Overhaul,Composting Overhaul - X,Compost,Tier 3,3,0,True,"+2 Worms, -5 fertilisers",J134,K134,xl/media/image128.png,icons/157_Composting_Overhaul.png,61,60
158,Composting Revamp,Composting Revamp - X,Compost,Tier 3,3,0,True,"+5 fertilisers, -3 Worms",J135,K135,xl/media/image179.png,icons/158_Composting_Revamp.png,63,61
159,Cheap Rakes,Cheap Rakes,Aging,Tier 1,1,0,False,-20% salt rake coin cost,,,,icons/159_Cheap_Rakes.png,,
160,Speedy Aging,Speedy Aging,Aging,Tier 1,1,0,False,-10% Fish Aging time,,,,icons/160_Speedy_Aging.png,,
161,Salty Seas,Salty Seas,Aging,Tier 1,1,0,False,-10% salt charge replenishment time,,,,icons/161_Salty_Seas.png,,
162,Wide Rakes,Wide Rakes,Aging,Tier 1,1,0,False,+2 Salt per harvest,,,,icons/162_Wide_Rakes.png,,
163,Bacalhau,Bacalhau,Aging,Tier 1,1,0,False,+1 Bait yield from fermentation rack,,,,icons/163_Bacalhau.png,,
164,Fish Smoking,Fish Smoking,Aging,Tier 2,2,0,False,Doubled chance Aged Fish becomes Prime Aged,,,,icons/164_Fish_Smoking.png,,
165,Refiner,Refiner,Aging,Tier 2,2,0,False,15% chance of +1 Refined Salt when making Refined Salt,,,,icons/165_Refiner.png,,
168,Sea Blessed,Sea Blessed,Aging,Tier 2,2,0,False,5% chance to restore 1 charge to 4 Salt hodes on harvest,,,,icons/168_Sea_Blessed.png,,
169,Ager,Ager,Aging,Tier 3,3,0,False,"2x output from Aging Shed Racks | 2x Aging Shed inputs (ingredients, fish & salt)",,,,icons/169_Ager.png,,
170,Salt Surge,Salt Surge,Aging,Tier 3,3,0,False,Recharge all Salt hodes to max,,,,icons/170_Salt_Surge.png,,
